cbsa_code,cbsa_title,ratio_2023,ratio_2024
10420,"Akron, OH",1.0,1.0
10580,"Albany-Schenectady-Troy, NY",1.0,1.0
10740,"Albuquerque, NM",1.0,0.9999975229375978
10900,"Allentown-Bethlehem-Easton, PA-NJ",1.0,1.0
12060,"Atlanta-Sandy Springs-Roswell, GA",0.9986499042378025,0.9999996521206724
12260,"Augusta-Richmond County, GA-SC",1.0,1.0
12420,"Austin-Round Rock-San Marcos, TX",0.9999991997637703,1.0
12540,"Bakersfield-Delano, CA",1.0,1.0
12580,"Baltimore-Columbia-Towson, MD",1.0000007541995717,0.9999992621211361
12940,"Baton Rouge, LA",0.9906039727018557,0.9999975191767636
13820,"Birmingham, AL",1.0,1.0
14260,"Boise City, ID",0.999997346888962,1.0
14460,"Boston-Cambridge-Newton, MA-NH",1.0,1.0000007384259122
14860,"Bridgeport-Stamford-Danbury, CT",,1.0
15380,"Buffalo-Cheektowaga, NY",1.0,1.000001871937043
15980,"Cape Coral-Fort Myers, FL",1.0,1.0
16700,"Charleston-North Charleston, SC",1.0,1.0
16740,"Charlotte-Concord-Gastonia, NC-SC",0.9949354240128571,1.000001492833652
16860,"Chattanooga, TN-GA",1.0,1.0
16980,"Chicago-Naperville-Elgin, IL-IN",1.0164116411979303,0.9999997753159395
17140,"Cincinnati, OH-KY-IN",0.9969761357665349,1.0000018342077919
17820,"Colorado Springs, CO",1.0,1.0000031450892577
17900,"Columbia, SC",0.9999974214775449,0.9999974622123418
18140,"Columbus, OH",1.0,1.0
19100,"Dallas-Fort Worth-Arlington, TX",1.0055341631593087,1.3665733268609233
19430,"Dayton-Kettering-Beavercreek, OH",,1.0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1.0000046760874242,1.0
19740,"Denver-Aurora-Centennial, CO",1.0,0.9999993781082925
19780,"Des Moines-West Des Moines, IA",0.974316069592565,1.0
19820,"Detroit-Warren-Dearborn, MI",1.0,1.0
20500,"Durham-Chapel Hill, NC",1.0000029589388062,0.9999970846161023
21340,"El Paso, TX",1.0,1.0
22220,"Fayetteville-Springdale-Rogers, AR",1.026489127311045,1.0
24340,"Grand Rapids-Wyoming-Kentwood, MI",0.9687726637129872,1.0000016793203454
24660,"Greensboro-High Point, NC",1.0,1.0
24860,"Greenville-Anderson-Greer, SC",1.0,1.0
25420,"Harrisburg-Carlisle, PA",1.0,1.0
25540,"Hartford-West Hartford-East Hartford, CT",,1.0
26420,"Houston-Pasadena-The Woodlands, TX",0.9992315813824748,1.0000003072294783
26620,"Huntsville, AL",1.0,1.0
26900,"Indianapolis-Carmel-Greenwood, IN",1.0072580817053156,1.0
27260,"Jacksonville, FL",1.0,1.0000013249279902
28140,"Kansas City, MO-KS",1.0,1.0
28660,"Killeen-Temple, TX",1.0000067419972494,1.0
28940,"Knoxville, TN",1.0,0.9999976208546366
29460,"Lakeland-Winter Haven, FL",1.0,1.0
29540,"Lancaster, PA",1.0,1.0
29820,"Las Vegas-Henderson-North Las Vegas, NV",1.0,1.0
30460,"Lexington-Fayette, KY",0.9999964390127519,1.0000035042348678
30780,"Little Rock-North Little Rock-Conway, AR",1.0000028669478187,1.0000028099280378
31080,"Los Angeles-Long Beach-Anaheim, CA",0.9999998364885858,1.0
31140,"Louisville/Jefferson County, KY-IN",0.9787983148667612,1.0000014649953999
31540,"Madison, WI",1.0,1.0
32580,"McAllen-Edinburg-Mission, TX",1.0,1.0
32820,"Memphis, TN-MS-AR",1.0,1.0000016240014422
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1.000000363733183,1.0000003585542805
33340,"Milwaukee-Waukesha, WI",1.0,1.000001224546275
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.0019881160389779,1.0
33700,"Modesto, CA",1.0,1.0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1.0000018422940984,0.9999981738395207
35300,"New Haven, CT",,1.0
35620,"New York-Newark-Jersey City, NY-NJ",1.0296261603355488,1.0
35840,"North Port-Bradenton-Sarasota, FL",1.0,1.0
36420,"Oklahoma City, OK",0.9999984798249975,1.0
36540,"Omaha, NE-IA",1.0000020511978995,0.9999979631451483
36740,"Orlando-Kissimmee-Sanford, FL",1.0000007273483715,1.0
37100,"Oxnard-Thousand Oaks-Ventura, CA",1.0,1.0
37340,"Palm Bay-Melbourne-Titusville, FL",1.0,1.0
37860,"Pensacola-Ferry Pass-Brent, FL",1.0,1.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1.0,1.0000003485911688
38060,"Phoenix-Mesa-Chandler, AZ",1.0,1.0
38300,"Pittsburgh, PA",0.9752404113878406,1.0000009051879035
38860,"Portland-South Portland, ME",1.0,1.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",1.0,1.0
38940,"Port St. Lucie, FL",1.0,1.0
39300,"Providence-Warwick, RI-MA",1.0,1.000001410608339
39340,"Provo-Orem-Lehi, UT",1.0,1.0
39580,"Raleigh-Cary, NC",1.0000014046778583,1.0000013738056477
40060,"Richmond, VA",1.0077486852842856,1.000001517731659
40140,"Riverside-San Bernardino-Ontario, CA",0.9999993973827126,0.9999994070001264
40380,"Rochester, NY",1.0144130611843962,1.0
40900,"Sacramento-Roseville-Folsom, CA",1.0,1.0
41180,"St. Louis, MO-IL",1.0,1.00000075338931
41620,"Salt Lake City-Murray, UT",1.0,1.0
41700,"San Antonio-New Braunfels, TX",1.0,0.9999991042476576
41740,"San Diego-Chula Vista-Carlsbad, CA",1.0,1.0
41860,"San Francisco-Oakland-Fremont, CA",1.0,0.999999583220803
41940,"San Jose-Sunnyvale-Santa Clara, CA",1.0,0.9999991186422155
42540,"Scranton--Wilkes-Barre, PA",1.0,1.0
42660,"Seattle-Tacoma-Bellevue, WA",1.0,0.9999995194373188
44060,"Spokane-Spokane Valley, WA",1.0125796109097092,1.0
44700,"Stockton-Lodi, CA",1.0,1.0
45060,"Syracuse, NY",1.0,1.000003350936922
45300,"Tampa-St. Petersburg-Clearwater, FL",0.9999992974883805,1.0
45780,"Toledo, OH",1.0,1.0
46060,"Tucson, AZ",1.0,1.0
46140,"Tulsa, OK",1.0,1.0
46520,"Urban Honolulu, HI",1.0,1.0
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",0.9955274805117382,1.0000013152633684
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1.0070044680992953,1.0
48620,"Wichita, KS",1.0091540602526468,1.0
49180,"Winston-Salem, NC",1.0,1.0
